3,6	103	2798	51,2	43	186	196	8,8	112	79
3,8	123	4501	40,5	51	202	270	13,2	120	83
3,6	116	2879	44,8	27	120	161	11,1	96	66
5,6	102	4377	43	32	123	178	10,2	53	51
0,6	109	3468	53,1	43	240	300	13,5	72	51
1	111	1885	61,8	41	200	288	12,7	130	86
1,1	109	2371	49,4	41	199	216	10,2	129	114
3,4	106	1742	55,4	49	271	206	12,1	157	111
3,3	111	1685	55,6	56	257	219	7,7	191	90
3	106	1626	58,2	32	187	226	10,2	145	101
1,3	103	1264	62,2	37	184	190	13,5	105	69
0,9	106	1685	51,4	45	208	192	7	135	95
1,1	108	1838	55,7	36	255	326	7,9	139	145
0,4	106	12137	48,7	69	245	238	13,3	63	72
0,9	114	2684	51,3	58	234	227	11,8	86	76
1,5	114	1922	49,7	72	242	247	7,9	203	86
0,7	121	1836	57,7	51	286	343	8	165	102
1,3	110	2256	56,3	42	240	261	8	165	103
0,9	109	1616	57,5	35	238	279	9,5	161	119
1,3	110	2013	61,7	48	169	235	8,5	153	92
0,9	112	2503	51,2	44	208	276	8,7	110	135
3,9	105	1356	52,7	43	263	187	10,2	264	99
2	109	1538	49	44	298	297	6,6	164	86
3,6	110	1525	47,4	46	273	186	5,3	165	94
5,2	109	1785	50,5	52	287	214	9,5	142	125
0,6	113	2383	54	37	210	270	12,5	90	76
1,3	111	2131	58	59	240	320	11,2	138	106
1,8	113	2023	47,3	44	236	250	11,2	162	87
1,3	107	1863	52,5	55	214	257	8,2	166	111
0,7	106	2247	51,4	45	237	284	9,8	156	99
4,6	113	2000	53,4	47	183	203	10,3	182	120
12,4	133	1508	52,4	58	203	279	6,7	24	46
1,1	112	2482	52,4	50	300	278	10,7	156	72
2,4	108	2300	45,3	48	174	208	15	79	143
0,7	112	1947	52,9	51	196	242	11	143	125
3	110	1668	58,8	42	220	191	9,1	158	86
1,3	104	3256	44,5	41	197	209	12,5	107	64
0,8	110	1930	55,9	49	251	288	18,5	110	70
5,5	100	1662	54,1	41	215	273	8,8	139	87
1,4	96	1646	53,2	34	193	137	9,6	101	110
43,9	116	1317	64,4	25	143	121	6,1	62	200
12,7	115	1654	58,7	39	284	227	8,2	110	144
4,3	108	1366	49,5	39	336	202	8,8	148	100
3,6	93	1699	56,2	43	202	187	9	83	84
0,7	107	2109	48,6	45	198	268	12,1	84	98
1	104	1807	46,4	42	179	252	14	82	90
0,9	111	2329	54,5	38	199	234	12,5	86	86
1,6	113	2405	41,9	57	327	225	8,6	143	60
3,3	107	1974	46,8	42	245	194	6,6	159	93
2,3	106	1714	47,6	48	257	206	8,2	149	129
0,7	110	1916	51,4	47	271	237	11,7	98	116
1,6	106	3151	38,6	46	217	251	11,1	118	137
1,1	111	2969	47,2	46	201	289	10,1	107	81
2,6	99	2492	44,2	52	181	261	8,2	110	61
6,1	112	1599	50,8	59	244	149	6,8	150	50
5	111	1691	39,7	41	289	269	8,1	170	80
1,9	111	3058	38,6	39	207	221	8,9	135	57
1	110	2126	49,6	43	279	331	8,3	125	120
1,5	122	2309	47,3	57	313	292	13,4	152	120
3,7	108	2823	41,7	40	188	238	8,8	130	75
0,4	119	7102	33,2	37	158	212	8,6	114	62
3,5	111	2188	52,6	49	217	135	7,7	99	71
23	117	1609	53,3	42	153	65	9,6	72	25
4,4	105	2362	45,4	48	223	203	8,9	146	125
4	103	3526	37,1	50	222	197	8,4	192	81
3,4	100	2758	44,1	46	158	181	9,8	180	69
13,8	114	1574	51,7	45	208	119	6,9	114	58
2,1	110	4617	46,6	73	252	156	8,5	81	64
3	113	1983	46,1	28	140	177	7,6	230	93
3,1	107	2324	51,3	39	83	134	11,6	123	93
3,5	108	3273	46,8	49	158	208	8,9	160	108
5,8	105	2135	50	34	151	192	10,2	218	94
1,8	111	4410	44,2	49	116	128	11,7	107	102
7,8	110	4293	57,3	44	141	145	14,2	74	56
2,5	113	3666	47,6	54	156	144	9,6	125	75






